source,target
Metab__2425dhvitd3_m,Gene1__orphanReac24_25DHVITD3tm
Gene1__orphanReac24_25DHVITD3tm,Metab__2425dhvitd3_c
Metab__HMDB0003550_c,Gene2__orphanReac25HVITD3t
Gene2__orphanReac25HVITD3t,Metab__HMDB0003550_e
Metab__HMDB0002961_e,Gene4__orphanReacEX_5adtststerone_e
Gene4__orphanReacEX_5adtststerone_e_reverse,Metab__HMDB0002961_e
Metab__HMDB0006278_e,Gene5__orphanReacEX_5adtststerones_e
Gene5__orphanReacEX_5adtststerones_e_reverse,Metab__HMDB0006278_e
Metab__HMDB0001562_e,Gene6__orphanReacEX_5fthf_e
Gene6__orphanReacEX_5fthf_e_reverse,Metab__HMDB0001562_e
Metab__HMDB0000472_e,Gene7__orphanReacEX_5htrp_e
Gene7__orphanReacEX_5htrp_e_reverse,Metab__HMDB0000472_e
Metab__HMDB0001396_e,Gene8__orphanReacEX_5mthf_e
Gene8__orphanReacEX_5mthf_e_reverse,Metab__HMDB0001396_e
Metab__5thf_e,Gene9__orphanReacEX_5thf_e
Gene9__orphanReacEX_5thf_e_reverse,Metab__5thf_e
Metab__6dhf_e,Gene10__orphanReacEX_6dhf_e
Gene10__orphanReacEX_6dhf_e_reverse,Metab__6dhf_e
Metab__HMDB0003550_m,Gene11__CYP24A1
Gene11__CYP24A1,Metab__2425dhvitd3_m
Metab__HMDB0002916_e,Gene12__orphanReac24NPHte
Gene12__orphanReac24NPHte,Metab__HMDB0002916_c
Gene12__orphanReac24NPHte_reverse,Metab__HMDB0002916_e
Metab__HMDB0002916_c,Gene12__orphanReac24NPHte_reverse
Metab__10fthf7glu_c,Gene13__orphanReac10FTHF7GLUtl
Gene13__orphanReac10FTHF7GLUtl,Metab__10fthf7glu_l
Metab__HMDB0000972_c,Gene14__orphanReac10FTHFtm
Gene14__orphanReac10FTHFtm,Metab__HMDB0000972_m
Gene14__orphanReac10FTHFtm_reverse,Metab__HMDB0000972_c
Metab__HMDB0000972_m,Gene14__orphanReac10FTHFtm_reverse
Metab__HMDB0000015_c,Gene15__orphanReac11DOCRTSLtr
Gene15__orphanReac11DOCRTSLtr,Metab__HMDB0000015_r
Gene15__orphanReac11DOCRTSLtr_reverse,Metab__HMDB0000015_c
Metab__HMDB0000015_r,Gene15__orphanReac11DOCRTSLtr_reverse
Metab__HMDB0000002_c,Gene16__AOC3
Gene16__AOC3,Metab__bamppald_c
Gene16__AOC3,Metab__HMDB0003125_c
Gene16__AOC3,Metab__HMDB0000051_c
Metab__HMDB0000002_c,Gene16__AOC1
Gene16__AOC1,Metab__bamppald_c
Gene16__AOC1,Metab__HMDB0003125_c
Gene16__AOC1,Metab__HMDB0000051_c
Metab__HMDB0000002_c,Gene16__AOC2
Gene16__AOC2,Metab__bamppald_c
Gene16__AOC2,Metab__HMDB0003125_c
Gene16__AOC2,Metab__HMDB0000051_c
Metab__2425dhvitd2_c,Gene17__orphanReac24_25DHVITD2t
Gene17__orphanReac24_25DHVITD2t,Metab__2425dhvitd2_e
Metab__2425dhvitd2_m,Gene18__orphanReac24_25DHVITD2tm
Gene18__orphanReac24_25DHVITD2tm,Metab__2425dhvitd2_c
Metab__2425dhvitd3_c,Gene19__orphanReac24_25DHVITD3t
Gene19__orphanReac24_25DHVITD3t,Metab__2425dhvitd3_e
Metab__HMDB0001438_m,Gene20__CYP27B1
Gene20__CYP27B1,Metab__HMDB0006225_m
Metab__HMDB0003609_c,Gene21__SDS
Gene21__SDS,Metab__HMDB0000051_c
Gene21__SDS,Metab__HMDB0000243_c
Metab__HMDB0003609_c,Gene22__SULT1A3
Metab__HMDB0001134_c,Gene22__SULT1A3
Gene22__SULT1A3,Metab__HMDB0002757_c
Gene22__SULT1A3,Metab__HMDB0000061_c
Metab__HMDB0000510_c,Gene2300001__SLC25A21
Metab__HMDB0000208_m,Gene2300002__SLC25A21
Gene2300001__SLC25A21,Metab__HMDB0000510_m
Gene2300002__SLC25A21,Metab__HMDB0000208_c
Metab__HMDB0000379_c,Gene24__orphanReac2MCITt
Gene24__orphanReac2MCITt,Metab__HMDB0000379_e
Gene24__orphanReac2MCITt_reverse,Metab__HMDB0000379_c
Metab__HMDB0000379_e,Gene24__orphanReac2MCITt_reverse
Metab__HMDB0000225_m,Gene25__OGDH_DLD_PDHX_DLST
Gene25__OGDH_DLD_PDHX_DLST,Metab__HMDB0001339_m
Metab__HMDB0000208_m,Gene2600001__SLC25A21
Metab__HMDB0000225_c,Gene2600002__SLC25A21
Gene2600001__SLC25A21,Metab__HMDB0000208_c
Gene2600002__SLC25A21,Metab__HMDB0000225_m
SLC25A21_reverse,Metab__HMDB0000208_m
SLC25A21_reverse,Metab__HMDB0000225_c
Metab__HMDB0000208_c,SLC25A21_reverse
Metab__HMDB0000225_m,SLC25A21_reverse
Metab__HMDB0000181_e,Gene27__SLC16A10
Gene27__SLC16A10,Metab__HMDB0000181_c
Gene27__SLC16A10_reverse,Metab__HMDB0000181_e
Metab__HMDB0000181_c,Gene27__SLC16A10_reverse
Metab__HMDB0006242_c,Gene28__ALDH3B1
Gene28__ALDH3B1,Metab__34dhoxmand_c
Metab__HMDB0006242_c,Gene28__ALDH3A1
Gene28__ALDH3A1,Metab__34dhoxmand_c
Metab__HMDB0006242_c,Gene28__ALDH1A3
Gene28__ALDH1A3,Metab__34dhoxmand_c
Metab__HMDB0000707_m,Gene29__34HPLFM
Gene29__34HPLFM,Metab__HMDB0000755_m
Metab__HMDB0002166_m,Gene30__ABAT
Gene30__ABAT,Metab__HMDB0002166_c
Metab__HMDB0001476_c,Gene31__HAAO
Gene31__HAAO,Metab__HMDB0062578_c
Metab__HMDB0000019_c,Gene3200002__orphanReac3MOBt2im
Gene3200002__orphanReac3MOBt2im,Metab__HMDB0000019_m
Metab__HMDB0000491_c,Gene3300002__orphanReac3MOPt2im
Gene3300002__orphanReac3MOPt2im,Metab__HMDB0000491_m
Metab__HMDB0000022_c,Gene34__MAOA
Gene34__MAOA,Metab__HMDB0003125_c
Gene34__MAOA,Metab__HMDB0000051_c
Gene34__MAOA,Metab__HMDB0005175_c
Metab__HMDB0000022_c,Gene34__MAOB
Gene34__MAOB,Metab__HMDB0003125_c
Gene34__MAOB,Metab__HMDB0000051_c
Gene34__MAOB,Metab__HMDB0005175_c
Metab__HMDB0000073_c,Gene36__MAOB
Gene36__MAOB,Metab__HMDB0003125_c
Gene36__MAOB,Metab__HMDB0000051_c
Gene36__MAOB,Metab__HMDB0003791_c
Metab__HMDB0000073_c,Gene36__AOC3
Gene36__AOC3,Metab__HMDB0003125_c
Gene36__AOC3,Metab__HMDB0000051_c
Gene36__AOC3,Metab__HMDB0003791_c
Metab__HMDB0000073_c,Gene36__AOC1
Gene36__AOC1,Metab__HMDB0003125_c
Gene36__AOC1,Metab__HMDB0000051_c
Gene36__AOC1,Metab__HMDB0003791_c
Metab__HMDB0000073_c,Gene36__AOC2
Gene36__AOC2,Metab__HMDB0003125_c
Gene36__AOC2,Metab__HMDB0000051_c
Gene36__AOC2,Metab__HMDB0003791_c
Metab__HMDB0000073_c,Gene36__MAOA
Gene36__MAOA,Metab__HMDB0003125_c
Gene36__MAOA,Metab__HMDB0000051_c
Gene36__MAOA,Metab__HMDB0003791_c
Metab__HMDB0060153_m,Gene37__orphanReac4HBZCOAFm
Gene37__orphanReac4HBZCOAFm,Metab__HMDB0060140_m
Metab__HMDB0060140_m,Gene38__orphanReac4HBZFm
Gene38__orphanReac4HBZFm,Metab__HMDB0000500_m
Metab__HMDB0006468_e,Gene39__orphanReac4HDEBRISOQUINEte
Gene39__orphanReac4HDEBRISOQUINEte,Metab__HMDB0006468_c
Gene39__orphanReac4HDEBRISOQUINEte_reverse,Metab__HMDB0006468_e
Metab__HMDB0006468_c,Gene39__orphanReac4HDEBRISOQUINEte_reverse
Metab__HMDB0003767_c,Gene40__ALDH3B2
Gene40__ALDH3B2,Metab__HMDB0000020_c
Gene40__ALDH3B2_reverse,Metab__HMDB0003767_c
Metab__HMDB0000020_c,Gene40__ALDH3B2_reverse
Metab__HMDB0003767_c,Gene40__ALDH1A3
Gene40__ALDH1A3,Metab__HMDB0000020_c
Gene40__ALDH1A3_reverse,Metab__HMDB0003767_c
