metabolites,pathway
HMDB0000002,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000002,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000002,KEGG_HISTIDINE_METABOLISM
HMDB0000002,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000002,KEGG_PHENYLALANINE_METABOLISM
HMDB0000002,KEGG_TYROSINE_METABOLISM
HMDB0000002,KEGG_BETA_ALANINE_METABOLISM
HMDB0000005,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
HMDB0000005,KEGG_SELENOAMINO_ACID_METABOLISM
HMDB0000005,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000005,KEGG_NITROGEN_METABOLISM
HMDB0000005,KEGG_PROPANOATE_METABOLISM
HMDB0000005,KEGG_PYRUVATE_METABOLISM
HMDB0000005,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
HMDB0000005,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
HMDB0000005,KEGG_CITRATE_CYCLE_TCA_CYCLE
HMDB0000008,KEGG_PROPANOATE_METABOLISM
HMDB0000008,KEGG_PYRUVATE_METABOLISM
HMDB0000008,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
HMDB0000008,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
HMDB0000010,KEGG_ABC_TRANSPORTERS
HMDB0000011,KEGG_BUTANOATE_METABOLISM
HMDB0000012,KEGG_PRIMARY_IMMUNODEFICIENCY
HMDB0000012,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION
HMDB0000012,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000012,KEGG_PYRIMIDINE_METABOLISM
HMDB0000012,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000012,KEGG_PURINE_METABOLISM
HMDB0000014,KEGG_PRIMARY_IMMUNODEFICIENCY
HMDB0000014,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION
HMDB0000014,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000014,KEGG_PYRIMIDINE_METABOLISM
HMDB0000014,KEGG_PURINE_METABOLISM
HMDB0000014,KEGG_OLFACTORY_TRANSDUCTION
HMDB0000014,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000015,KEGG_ABC_TRANSPORTERS
HMDB0000015,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000017,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
HMDB0000017,KEGG_TYROSINE_METABOLISM
HMDB0000017,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000017,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000017,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000019,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
HMDB0000019,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS
HMDB0000019,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
HMDB0000019,KEGG_PROPANOATE_METABOLISM
HMDB0000019,KEGG_PYRUVATE_METABOLISM
HMDB0000019,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
HMDB0000019,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
HMDB0000019,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000019,KEGG_CITRATE_CYCLE_TCA_CYCLE
HMDB0000020,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450
HMDB0000020,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000020,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
HMDB0000020,KEGG_PHENYLALANINE_METABOLISM
HMDB0000020,KEGG_TYROSINE_METABOLISM
HMDB0000020,KEGG_HISTIDINE_METABOLISM
HMDB0000022,KEGG_TYROSINE_METABOLISM
HMDB0000022,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000022,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000022,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000022,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000022,KEGG_PHENYLALANINE_METABOLISM
HMDB0000022,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000022,KEGG_HISTIDINE_METABOLISM
HMDB0000023,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
HMDB0000023,KEGG_BETA_ALANINE_METABOLISM
HMDB0000023,KEGG_PROPANOATE_METABOLISM
HMDB0000026,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
HMDB0000026,KEGG_PYRIMIDINE_METABOLISM
HMDB0000026,KEGG_BETA_ALANINE_METABOLISM
HMDB0000026,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000026,KEGG_AXON_GUIDANCE
HMDB0000027,KEGG_PHENYLALANINE_METABOLISM
HMDB0000027,KEGG_FOLATE_BIOSYNTHESIS
HMDB0000027,KEGG_PARKINSONS_DISEASE
HMDB0000027,KEGG_TYROSINE_METABOLISM
HMDB0000027,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000031,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000031,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450
HMDB0000031,KEGG_ARACHIDONIC_ACID_METABOLISM
HMDB0000031,KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS
HMDB0000031,KEGG_STEROID_BIOSYNTHESIS
HMDB0000031,KEGG_STARCH_AND_SUCROSE_METABOLISM
HMDB0000031,KEGG_RETINOL_METABOLISM
HMDB0000031,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000031,KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
HMDB0000031,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
HMDB0000031,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000031,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM
HMDB0000032,KEGG_STEROID_BIOSYNTHESIS
HMDB0000032,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000032,KEGG_PPAR_SIGNALING_PATHWAY
HMDB0000032,KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS
HMDB0000033,KEGG_BETA_ALANINE_METABOLISM
HMDB0000033,KEGG_HISTIDINE_METABOLISM
HMDB0000034,KEGG_PURINE_METABOLISM
HMDB0000034,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
HMDB0000034,KEGG_PYRIMIDINE_METABOLISM
HMDB0000034,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000036,KEGG_ABC_TRANSPORTERS
HMDB0000036,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS
HMDB0000036,KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM
HMDB0000036,KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS
HMDB0000036,KEGG_PEROXISOME
HMDB0000037,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000039,KEGG_BUTANOATE_METABOLISM
HMDB0000039,KEGG_ECM_RECEPTOR_INTERACTION
HMDB0000039,KEGG_PPAR_SIGNALING_PATHWAY
HMDB0000039,KEGG_HEMATOPOIETIC_CELL_LINEAGE
HMDB0000039,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY
HMDB0000042,KEGG_BUTANOATE_METABOLISM
HMDB0000042,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
HMDB0000042,KEGG_PYRUVATE_METABOLISM
HMDB0000042,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
HMDB0000042,KEGG_PROPANOATE_METABOLISM
HMDB0000042,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000042,KEGG_HISTIDINE_METABOLISM
HMDB0000042,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
HMDB0000042,KEGG_RETINOL_METABOLISM
HMDB0000042,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450
HMDB0000042,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000042,KEGG_PHENYLALANINE_METABOLISM
HMDB0000042,KEGG_TYROSINE_METABOLISM
HMDB0000042,KEGG_FATTY_ACID_METABOLISM
HMDB0000042,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
HMDB0000042,KEGG_BETA_ALANINE_METABOLISM
HMDB0000042,KEGG_LIMONENE_AND_PINENE_DEGRADATION
HMDB0000042,KEGG_GLYCEROLIPID_METABOLISM
HMDB0000042,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
HMDB0000042,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000042,KEGG_LYSINE_DEGRADATION
HMDB0000042,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM
HMDB0000042,KEGG_ETHER_LIPID_METABOLISM
HMDB0000042,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS
HMDB0000042,KEGG_PEROXISOME
HMDB0000043,KEGG_BETA_ALANINE_METABOLISM
HMDB0000043,KEGG_PROPANOATE_METABOLISM
HMDB0000043,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000043,KEGG_HISTIDINE_METABOLISM
HMDB0000043,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
HMDB0000043,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000043,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
HMDB0000043,KEGG_GLYCEROLIPID_METABOLISM
HMDB0000043,KEGG_BUTANOATE_METABOLISM
HMDB0000043,KEGG_PYRUVATE_METABOLISM
HMDB0000043,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
HMDB0000043,KEGG_LYSINE_DEGRADATION
HMDB0000043,KEGG_LIMONENE_AND_PINENE_DEGRADATION
HMDB0000043,KEGG_FATTY_ACID_METABOLISM
HMDB0000043,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
HMDB0000043,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000044,KEGG_TYROSINE_METABOLISM
HMDB0000050,KEGG_PRIMARY_IMMUNODEFICIENCY
HMDB0000050,KEGG_PURINE_METABOLISM
HMDB0000050,KEGG_SELENOAMINO_ACID_METABOLISM
HMDB0000050,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
HMDB0000050,KEGG_PYRIMIDINE_METABOLISM
HMDB0000050,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000050,KEGG_RIBOFLAVIN_METABOLISM
HMDB0000050,KEGG_LYSOSOME
HMDB0000051,KEGG_PRIMARY_IMMUNODEFICIENCY
HMDB0000051,KEGG_PURINE_METABOLISM
HMDB0000051,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION
HMDB0000051,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000051,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000051,KEGG_HISTIDINE_METABOLISM
HMDB0000051,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000051,KEGG_PHENYLALANINE_METABOLISM
HMDB0000051,KEGG_TYROSINE_METABOLISM
HMDB0000051,KEGG_BETA_ALANINE_METABOLISM
HMDB0000051,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000051,KEGG_PYRIMIDINE_METABOLISM
HMDB0000051,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
HMDB0000051,KEGG_SELENOAMINO_ACID_METABOLISM
HMDB0000051,KEGG_NITROGEN_METABOLISM
HMDB0000051,KEGG_RENAL_CELL_CARCINOMA
HMDB0000051,KEGG_CITRATE_CYCLE_TCA_CYCLE
HMDB0000051,KEGG_PATHWAYS_IN_CANCER
HMDB0000051,KEGG_ONE_CARBON_POOL_BY_FOLATE
HMDB0000051,KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION
HMDB0000051,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
HMDB0000051,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM
HMDB0000051,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
HMDB0000051,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000051,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000051,KEGG_VIBRIO_CHOLERAE_INFECTION
HMDB0000051,KEGG_CARDIAC_MUSCLE_CONTRACTION
HMDB0000051,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
HMDB0000051,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
HMDB0000051,KEGG_PYRUVATE_METABOLISM
HMDB0000051,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
HMDB0000051,KEGG_GALACTOSE_METABOLISM
HMDB0000051,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY
HMDB0000051,KEGG_INSULIN_SIGNALING_PATHWAY
HMDB0000051,KEGG_STARCH_AND_SUCROSE_METABOLISM
HMDB0000051,KEGG_PEROXISOME
HMDB0000052,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000052,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
HMDB0000053,KEGG_ABC_TRANSPORTERS
HMDB0000053,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000053,KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS
HMDB0000053,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000053,KEGG_RETINOL_METABOLISM
HMDB0000053,KEGG_PROSTATE_CANCER
HMDB0000054,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM
HMDB0000054,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000054,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000054,KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
HMDB0000054,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
HMDB0000054,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450
HMDB0000054,KEGG_RETINOL_METABOLISM
HMDB0000054,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000054,KEGG_STARCH_AND_SUCROSE_METABOLISM
HMDB0000056,KEGG_RETINOL_METABOLISM
HMDB0000056,KEGG_FATTY_ACID_METABOLISM
HMDB0000056,KEGG_PYRUVATE_METABOLISM
HMDB0000056,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
HMDB0000056,KEGG_BUTANOATE_METABOLISM
HMDB0000056,KEGG_BETA_ALANINE_METABOLISM
HMDB0000056,KEGG_LIMONENE_AND_PINENE_DEGRADATION
HMDB0000056,KEGG_GLYCEROLIPID_METABOLISM
HMDB0000056,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
HMDB0000056,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
HMDB0000056,KEGG_HISTIDINE_METABOLISM
HMDB0000056,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000056,KEGG_LYSINE_DEGRADATION
HMDB0000056,KEGG_PROPANOATE_METABOLISM
HMDB0000056,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000056,KEGG_TYPE_I_DIABETES_MELLITUS
HMDB0000056,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
HMDB0000056,KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM
HMDB0000056,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000056,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
HMDB0000056,KEGG_PYRIMIDINE_METABOLISM
HMDB0000058,KEGG_ABC_TRANSPORTERS
HMDB0000058,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
HMDB0000058,KEGG_DILATED_CARDIOMYOPATHY
HMDB0000058,KEGG_MELANOGENESIS
HMDB0000058,KEGG_LONG_TERM_POTENTIATION
HMDB0000058,KEGG_GAP_JUNCTION
HMDB0000058,KEGG_PURINE_METABOLISM
HMDB0000058,KEGG_OOCYTE_MEIOSIS
HMDB0000058,KEGG_CALCIUM_SIGNALING_PATHWAY
HMDB0000058,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION
HMDB0000058,KEGG_CHEMOKINE_SIGNALING_PATHWAY
HMDB0000058,KEGG_GNRH_SIGNALING_PATHWAY
HMDB0000058,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION
HMDB0000058,KEGG_OLFACTORY_TRANSDUCTION
HMDB0000058,KEGG_VIBRIO_CHOLERAE_INFECTION
HMDB0000058,KEGG_TASTE_TRANSDUCTION
HMDB0000058,KEGG_INSULIN_SIGNALING_PATHWAY
HMDB0000060,KEGG_BUTANOATE_METABOLISM
HMDB0000060,KEGG_TYROSINE_METABOLISM
HMDB0000060,KEGG_PEROXISOME
HMDB0000060,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
HMDB0000061,KEGG_SULFUR_METABOLISM
HMDB0000061,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000061,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE
HMDB0000061,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE
HMDB0000061,KEGG_SPHINGOLIPID_METABOLISM
HMDB0000061,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE
HMDB0000061,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
HMDB0000063,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000063,KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION
HMDB0000064,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000064,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000067,KEGG_ABC_TRANSPORTERS
HMDB0000067,KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS
HMDB0000067,KEGG_STEROID_BIOSYNTHESIS
HMDB0000067,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
HMDB0000067,KEGG_LYSOSOME
HMDB0000067,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000067,KEGG_SULFUR_METABOLISM
HMDB0000067,KEGG_GLYCEROLIPID_METABOLISM
HMDB0000067,KEGG_PPAR_SIGNALING_PATHWAY
HMDB0000067,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450
HMDB0000067,KEGG_ARACHIDONIC_ACID_METABOLISM
HMDB0000067,KEGG_LINOLEIC_ACID_METABOLISM
HMDB0000067,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000068,KEGG_TYROSINE_METABOLISM
HMDB0000068,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000068,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000068,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000068,KEGG_PHENYLALANINE_METABOLISM
HMDB0000068,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000068,KEGG_HISTIDINE_METABOLISM
HMDB0000068,KEGG_PARKINSONS_DISEASE
HMDB0000071,KEGG_PRIMARY_IMMUNODEFICIENCY
HMDB0000071,KEGG_PURINE_METABOLISM
HMDB0000071,KEGG_PYRIMIDINE_METABOLISM
HMDB0000071,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
HMDB0000073,KEGG_ARGININE_AND_PROLINE_METABOLISM
HMDB0000073,KEGG_TRYPTOPHAN_METABOLISM
HMDB0000073,KEGG_HISTIDINE_METABOLISM
HMDB0000073,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
HMDB0000073,KEGG_PHENYLALANINE_METABOLISM
HMDB0000073,KEGG_TYROSINE_METABOLISM
HMDB0000073,KEGG_BETA_ALANINE_METABOLISM
HMDB0000073,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE
HMDB0000073,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000073,KEGG_DRUG_METABOLISM_CYTOCHROME_P450
HMDB0000073,KEGG_PARKINSONS_DISEASE
HMDB0000073,KEGG_SULFUR_METABOLISM
HMDB0000073,KEGG_JAK_STAT_SIGNALING_PATHWAY
HMDB0000073,KEGG_AUTOIMMUNE_THYROID_DISEASE
HMDB0000073,KEGG_HEMATOPOIETIC_CELL_LINEAGE
HMDB0000073,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
HMDB0000076,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000076,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
HMDB0000076,KEGG_PYRIMIDINE_METABOLISM
HMDB0000076,KEGG_BETA_ALANINE_METABOLISM
HMDB0000076,KEGG_AXON_GUIDANCE
HMDB0000077,KEGG_STEROID_HORMONE_BIOSYNTHESIS
HMDB0000077,KEGG_SULFUR_METABOLISM
HMDB0000078,KEGG_RENIN_ANGIOTENSIN_SYSTEM
HMDB0000078,KEGG_GLUTATHIONE_METABOLISM
HMDB0000078,KEGG_HEMATOPOIETIC_CELL_LINEAGE
HMDB0000078,KEGG_ARACHIDONIC_ACID_METABOLISM
HMDB0000078,KEGG_SELENOAMINO_ACID_METABOLISM
HMDB0000078,KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM
HMDB0000079,KEGG_DRUG_METABOLISM_OTHER_ENZYMES
HMDB0000079,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
HMDB0000079,KEGG_PYRIMIDINE_METABOLISM
HMDB0000079,KEGG_BETA_ALANINE_METABOLISM
HMDB0000082,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM
HMDB0000082,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
HMDB0000082,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM
