metabs,BIGG,HMDB_comp,name,formula,formula_det,inchi,super_class,class,sub_class,CID
HMDB0000002,13dampp_c,HMDB0000002_c,Trimethylenediaminium,C3H12N2,[H][N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H],InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2,Organic nitrogen compounds,Organonitrogen compounds,Amines,428
HMDB0000002,13dampp_e,HMDB0000002_e,Trimethylenediaminium,C3H12N2,[H][N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H],InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2,Organic nitrogen compounds,Organonitrogen compounds,Amines,428
HMDB0000005,2obut_m,HMDB0000005_m,2-Oxobutanoate,C4H5O3,[H]C([H])([H])C([H])([H])C(=O)C([O-])=O,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,58
HMDB0000005,2obut_e,HMDB0000005_e,2-Oxobutanoate,C4H5O3,[H]C([H])([H])C([H])([H])C(=O)C([O-])=O,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,58
HMDB0000005,2obut_c,HMDB0000005_c,2-Oxobutanoate,C4H5O3,[H]C([H])([H])C([H])([H])C(=O)C([O-])=O,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,58
HMDB0000008,2hb_e,HMDB0000008_e,2-Hydroxybutyrate,C4H7O3,[H]OC([H])(C([O-])=O)C([H])([H])C([H])([H])[H],"InChI=1/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1",Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,11266
HMDB0000008,2hb_c,HMDB0000008_c,2-Hydroxybutyrate,C4H7O3,[H]OC([H])(C([O-])=O)C([H])([H])C([H])([H])[H],"InChI=1/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1",Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,11266
HMDB0000010,C05299_e,HMDB0000010_e,2-Methoxyestrone,C19H24O3,[H]OC1=C([H])C2=C(C([H])=C1OC([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]3(C(=O)C([H])([H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H])C([H])([H])[H],"InChI=1S/C19H24O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10,12-13,15,20H,3-8H2,1-2H3/t12-,13+,15-,19-/m0/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,NA
HMDB0000010,C05299_c,HMDB0000010_c,2-Methoxyestrone,C19H24O3,[H]OC1=C([H])C2=C(C([H])=C1OC([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]3(C(=O)C([H])([H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H])C([H])([H])[H],"InChI=1S/C19H24O3/c1-19-8-7-12-13(15(19)5-6-18(19)21)4-3-11-9-16(20)17(22-2)10-14(11)12/h9-10,12-13,15,20H,3-8H2,1-2H3/t12-,13+,15-,19-/m0/s1",Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,NA
HMDB0000011,bhb_m,HMDB0000011_m,(R)-3-Hydroxybutyrate,C4H7O3,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([O-])=O,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,92135
HMDB0000011,bhb_e,HMDB0000011_e,(R)-3-Hydroxybutyrate,C4H7O3,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([O-])=O,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,92135
HMDB0000011,bhb_c,HMDB0000011_c,(R)-3-Hydroxybutyrate,C4H7O3,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C([O-])=O,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1",Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,92135
HMDB0000012,duri_c,HMDB0000012_c,Deoxyuridine,C9H12N2O5,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=O)N([H])C2=O)C([H])([H])[C@]1([H])O[H],"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1","Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,NA
